MODEL,SERIAL,PALLET,TIME,RESULT,ACT01 ST1 CURR,ACT01 ST1 VOLT,ACT01 ST1 TIME,ACT01 P1 CURR,ACT01 P1 VOLT,ACT01 P1 TIME,ACT01 P2 CURR,ACT01 P2 VOLT,ACT01 P2 TIME,ACT01 P3 CURR,ACT01 P3 VOLT,ACT01 P3 TIME,ACT01 P4 CURR,ACT01 P4 VOLT,ACT01 P4 TIME,ACT01 P5 CURR,ACT01 P5 VOLT,ACT01 P5 TIME,ACT01 ST2 CURR,ACT01 ST2 VOLT,ACT01 ST2 TIME,ACT01 FINAL CURR,ACT01 FINAL VOLT,ACT01 FINAL TIME,ACT01 STALL,ACT02 ST1 CURR,ACT02 ST1 VOLT,ACT02 ST1 TIME,ACT02 P1 CURR,ACT02 P1 VOLT,ACT02 P1 TIME,ACT02 P2 CURR,ACT02 P2 VOLT,ACT02 P2 TIME,ACT02 ST2 CURR,ACT02 ST2 VOLT,ACT02 ST2 TIME,ACT02 FINAL CURR,ACT02 FINAL VOLT,ACT02 FINAL TIME,ACT02 STALL,ACT03 ST1 CURR,ACT03 ST1 VOLT,ACT03 ST1 TIME,ACT03 P1 CURR,ACT03 P1 VOLT,ACT03 P1 TIME,ACT03 P2 CURR,ACT03 P2 VOLT,ACT03 P2 TIME,ACT03 ST2 CURR,ACT03 ST2 VOLT,ACT03 ST2 TIME,ACT03 FINAL CURR,ACT03 FINAL VOLT,ACT03 FINAL TIME,ACT03 STALL,ACT04 ST1 CURR,ACT04 ST1 VOLT,ACT04 ST1 TIME,ACT04 P1 CURR,ACT04 P1 VOLT,ACT04 P1 TIME,ACT04 P2 CURR,ACT04 P2 VOLT,ACT04 P2 TIME,ACT04 ST2 CURR,ACT04 ST2 VOLT,ACT04 ST2 TIME,ACT04 FINAL CURR,ACT04 FINAL VOLT,ACT04 FINAL TIME,ACT04 STALL,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4,SENSOR 5,SENSOR 6,MEMO
0000_DEFAULT,000000000000000,,18:11:57,OK,,,,,,,,,,,,,,,,,,,,,,,,,,196,0.15,0.7,19,0.33,6.2,18,4.61,6.5,191,4.81,0.8,15,4.80,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,18:18:56,OK,,,,,,,,,,,,,,,,,,,,,,,,,,197,0.15,0.7,19,0.33,6.2,19,4.61,6.5,189,4.81,0.8,21,4.80,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:07:00,NG,,,,,,,,,,,,,,,,,,,,,,,,,,199,0.15,0.7,19,0.33,6.3,19,4.61,6.6,192,4.80,0.8,#0,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:07:26,NG,,,,,,,,,,,,,,,,,,,,,,,,,,200,0.15,0.7,19,0.34,6.7,18,4.60,6.6,192,4.81,0.8,#0,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:07:49,NG,,,,,,,,,,,,,,,,,,,,,,,,,,200,0.15,0.7,19,0.34,6.7,19,4.60,6.6,194,4.80,0.8,#0,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:10:56,NG,,,,,,,,,,,,,,,,,,,,,,,,,,193,#0.25,0.5,19,0.34,6.0,20,4.60,6.3,194,4.81,0.8,6,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:11:39,NG,,,,,,,,,,,,,,,,,,,,,,,,,,195,0.15,0.7,20,0.34,6.5,18,4.60,6.6,188,4.80,0.8,#0,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:12:44,OK,,,,,,,,,,,,,,,,,,,,,,,,,,197,0.15,0.7,13,0.26,0.7,18,4.60,6.2,190,4.80,0.8,19,0.34,6.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:15:05,NG,,,,,,,,,,,,,,,,,,,,,,,,,,#99,3,6.8,20,#96,7.0,#0,#96,0.4,196,96,0.7,#0,#96,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:26:38,NG,,,,,,,,,,,,,,,,,,,,,,,,,,103,3,0.8,14,9,1.1,20,88,5.7,#92,96,0.8,18,11,6.4,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
